TRAIN NO,TRAIN NAME,DESTINATION,DURATION
12261,Duronto Exp,Howrah,27Hr
12859,Gitanjali Exp,Howrah,30Hr30M
11073,Chennai Exp,Chennai,23Hr35M
22209,NDLS Duronto Exp,Delhi,17Hr15M
12951,Tejas Exp,Delhi,15Hr35M
22121,LTT LKO Exp,Lucknow,24Hr5M
12534,Pushpak Exp,Lucknow,24hr15M
12143,LTT SLN SUP Exp,Lucknow,23Hr5M
12903,MMCT ASR Exp,Amritsar,24Hr32M
11301,Coimbtore,Bengaluru,23Hr5M
